Date,Close,High,Low,Open,Volume,SMA_7,SMA_30,Target
2021-01-30,0.16961590740840865,0.16900864417294928,0.1611675104789167,0.16989685255155354,0.17304483034535145,0.15468463526843618,0.179740121120901,0.15901469194239315
2021-01-31,0.15901469194239315,0.1640391149685315,0.1549404621527552,0.1696669294137759,0.13720580148745767,0.15579199216117473,0.18097684136961428,0.16289497870921127
2021-02-01,0.16289497870921127,0.16722145833131816,0.1560004613569616,0.1590557292605225,0.162220090395634,0.15736351403228938,0.1814430353554186,0.18100270878187197
2021-02-02,0.18100270878187197,0.17866961615217083,0.1662701736572581,0.16289735272578823,0.1671043646568968,0.16131041461895662,0.18234515155222675,0.19900662135029018
2021-02-03,0.19900662135029018,0.19307049262716117,0.1844376469604171,0.18104568713268174,0.1615442870026865,0.1707594703523439,0.18416381525274422,0.19399563434130684
2021-02-04,0.19399563434130684,0.20318453195663674,0.19255604826342743,0.19907163962620247,0.18373884767498191,0.175403726051849,0.18513383854346965,0.20517573276951395
2021-02-05,0.20517573276951395,0.1998531439314978,0.19572771400457262,0.19408348332048156,0.15411234691475828,0.1805418788126879,0.1855702857993365,0.2154698692502599
2021-02-06,0.2154698692502599,0.22368906270563868,0.20947925912200155,0.20515847292751835,0.19093703804840775,0.18724857787686466,0.18553555663259852,0.212142475220987
2021-02-07,0.212142475220987,0.212549759533136,0.2030456747748543,0.21536133905170649,0.17408295006384206,0.1950191617061363,0.18490923946302878,0.27907228663869527
2021-02-08,0.27907228663869527,0.27241689678656245,0.20890245400661728,0.21202680830658452,0.2781418488944435,0.2120115045936835,0.18687396767372655,0.2816845013828726
2021-02-09,0.2816845013828726,0.28878683267328664,0.2748024021348179,0.2790009735707045,0.2502010258218932,0.22673744008745078,0.18956043301538694,0.267341195447986
2021-02-10,0.267341195447986,0.28098151115175174,0.2628521749560861,0.2816142611708178,0.2371562418214953,0.2367322018428819,0.1926525675217881,0.2947916763849942
2021-02-11,0.2947916763849942,0.29296843256257077,0.26570178391358495,0.267196962003427,0.2200510648792011,0.25147484770582057,0.197277238881726,0.2910796628795414
2021-02-12,0.2910796628795414,0.29553576684184923,0.28649432314562673,0.29452860003300074,0.2060656586607345,0.26403934125307565,0.20064612046685265,0.28741486196148064
2021-02-13,0.28741486196148064,0.2891872458663045,0.286190454891865,0.2909878769136198,0.1878251657145878,0.27456217059883037,0.2032643131852077,0.30220649030936997
2021-02-14,0.30220649030936997,0.3022837417241464,0.2929027848127736,0.2875310001022,0.19071322382489247,0.2877351271209417,0.20719644326679165,0.2951195475499808
2021-02-15,0.2951195475499808,0.29671668376372384,0.28577404284041374,0.3020490295497833,0.20755526282515618,0.29008223401014593,0.21108724011180985,0.3066352604376899
2021-02-16,0.3066352604376899,0.3100463572423089,0.2937094697110514,0.2951473205440769,0.20749647197348342,0.29373158568406627,0.21552086618086053,0.33370018983528943
2021-02-17,0.33370018983528943,0.3299909845743838,0.3110991201543723,0.3067360345800958,0.21840666110765242,0.30343739490273314,0.22065228785176594,0.3293941294158859
2021-02-18,0.3293941294158859,0.32944699820363876,0.32916083859215406,0.333658119780061,0.13518107739726123,0.30849842409277123,0.22581381855293858,0.368015029662957
2021-02-19,0.368015029662957,0.36255033288432525,0.3284313732608716,0.3293909556898251,0.16828164532225068,0.3197511562817156,0.23253947921306345,0.36995497587914467
2021-02-20,0.36995497587914467,0.3752073335161129,0.3627193297094714,0.36803793796298057,0.18173496837519235,0.33182365083906457,0.24089640841020632,0.38317410601446683
2021-02-21,0.38317410601446683,0.38271421042173404,0.37244126230285224,0.369701062998402,0.13472644293056077,0.343666148426315,0.24900877261425453,0.3525898134110688
2021-02-22,0.3525898134110688,0.3754634984781057,0.3101249991286932,0.3831375503521455,0.25090284191318407,0.35207187309625515,0.2563293801435494,0.303189709469887
